Stock,Rank,Latest_Price,1M_Return_Normalized,3M_Return_Normalized,6M_Return_Normalized,Strength_Score_Normalized,20_MA,20_MAV,Liquidity
UGROCAP,941,272.6000061035156,41.0,18.0,5.0,17.0,265.7149993896484,292239.0,77652285.70663147
APLLTD,942,757.3602905273438,41.0,17.0,5.0,17.0,755.6149353027344,106044.55,80128845.78745759
SCHAEFFLER,943,3184.578125,45.0,18.0,4.0,17.0,3065.521130371094,73680.9,225870355.8547595
BLUESTARCO,944,944.8829956054688,38.0,20.0,5.0,17.0,968.8561462402344,179806.7,174206826.43017396
SMLISUZU,945,1347.6600341796875,39.0,20.0,5.0,17.0,1351.5343627929688,32272.2,43616987.26292725
AWL,946,367.0,43.0,20.0,3.0,17.0,366.93999938964845,4952730.35,1817354871.6060932
SHIVALIK,947,736.5245361328125,44.0,19.0,4.0,17.0,654.7345581054688,31990.95,20945580.511624146
AXISBANK,948,1096.8533935546875,39.0,19.0,4.0,17.0,1112.3789916992187,9072623.9,10092196225.948233
BECTORFOOD,949,1121.21044921875,36.0,20.0,6.0,17.0,1140.965069580078,163495.35,186542483.38876924
SUPRAJIT,950,407.1269836425781,44.0,19.0,4.0,17.0,374.6460983276367,531079.15,198966731.45065773
ADVANIHOTR,951,50.09585952758789,39.0,21.0,5.0,17.0,50.776369667053224,256089.7,13003305.27512476
SHRIRAMFIN,952,406.1365356445313,39.0,20.0,4.0,17.0,405.69251708984376,6616658.25,2684328740.1657805
ZIMLAB,953,118.1500015258789,42.0,18.0,4.0,17.0,114.17500038146973,287871.45,32867722.913564246
SIMBHALS,954,29.600000381469727,39.0,19.0,5.0,17.0,28.914999771118165,795709.35,23007935.673126582
SIRCA,955,404.6518249511719,43.0,19.0,4.0,17.0,396.30639190673827,259118.5,102690317.81128617
SIS,956,465.0,39.0,19.0,4.0,17.0,465.8099990844727,106903.8,49796858.98012665
SKIPPER,957,230.2624053955078,36.0,20.0,6.0,17.0,229.5420783996582,415791.55,95441656.5680154
SULA,958,488.2020568847656,43.0,19.0,4.0,17.0,466.97361755371094,524083.45,244733144.54652938
AFSL,959,330.8999938964844,40.0,17.0,5.0,17.0,321.2124984741211,84797.0,27237856.233110048
BLUEDART,960,7314.552734375,41.0,20.0,4.0,17.0,7318.085009765625,11736.65,85889802.42986572
SMLT,961,254.6499938964844,45.0,19.0,4.0,17.0,243.64517364501953,49440.75,12046000.118889999
SMSPHARMA,962,119.71990966796876,40.0,17.0,5.0,17.0,119.4477035522461,116293.5,13890991.513053132
BANDHANBNK,963,242.24185180664065,42.0,17.0,4.0,17.0,238.6444351196289,11328123.0,2703393514.300676
SOLARA,964,359.3500061035156,44.0,18.0,3.0,17.0,339.4875030517578,330878.95,112329268.54788743
SOMANYCERA,965,721.7942504882812,42.0,19.0,4.0,17.0,723.4127227783204,71980.0,52071247.785583496
BAJAJCON,966,223.99951171875,40.0,18.0,5.0,17.0,214.8630111694336,568474.3,122144099.87043595
BALKRISIND,967,2557.780029296875,40.0,19.0,4.0,17.0,2534.9699462890626,261614.45,663184768.2649426
STERTOOLS,968,362.5717468261719,43.0,17.0,4.0,17.0,344.4730590820312,83790.95,28863724.869889524
AIAENG,969,3671.2744140625,40.0,19.0,5.0,17.0,3624.455285644531,49992.9,181197030.6496985
AHLUCONT,970,784.8595581054688,37.0,21.0,5.0,17.0,820.8964294433594,59669.5,48982479.49667053
BAJAJFINSV,971,1675.343017578125,39.0,20.0,4.0,17.0,1692.6321411132812,1220942.95,2066607279.635666
BAJAJHLDNG,972,7697.9267578125,39.0,21.0,4.0,17.0,7824.38984375,53212.65,416356518.21902347
SRF,973,2457.32470703125,41.0,20.0,4.0,17.0,2427.1796997070314,503585.1,1222291531.7949352
SHEMAROO,974,158.8000030517578,36.0,22.0,4.0,17.0,162.62000045776367,105021.0,17078515.068074796
BERGEPAINT,975,600.009033203125,42.0,20.0,4.0,17.0,581.1721282958985,1342383.65,780155962.8601164
AUBANK,976,784.759033203125,42.0,21.0,4.0,17.0,757.3823516845703,2051079.55,1553451453.0711303
AKZOINDIA,977,2477.376708984375,42.0,19.0,4.0,17.0,2439.370263671875,18115.65,44190777.917087406
EPIGRAL,978,977.0831298828124,44.0,18.0,4.0,17.0,926.1462677001953,80269.55,74341344.1424742
SANOFI,979,7967.53564453125,40.0,21.0,5.0,17.0,7927.96318359375,17409.6,138022667.84109375
PYRAMID,980,192.3999938964844,40.0,21.0,4.0,17.0,194.04249954223633,236741.45,45937902.703253366
LORDSCHLO,981,165.5500030517578,47.0,19.0,4.0,17.0,165.2050003051758,61281.05,10123935.883951493
YASHO,982,1719.9554443359375,44.0,18.0,4.0,17.0,1604.9427062988282,16918.6,27153383.670787353
BLBLIMITED,983,22.399999618530273,42.0,17.0,5.0,17.0,22.4375,536556.8,12038993.200000001
TREL,984,44.1866340637207,37.0,19.0,5.0,17.0,45.5003568649292,1024740.9,46626076.64408873
THEJO,985,1873.7384033203125,37.0,21.0,4.0,17.0,1893.6495483398437,5386.9,10200900.751951903
VINDHYATEL,986,2224.004638671875,39.0,18.0,5.0,17.0,2246.0109008789063,11292.05,25362067.393269654
SBCL,987,593.9168090820312,44.0,21.0,3.0,17.0,544.2289428710938,171197.7,93170743.29296266
VINYLINDIA,988,448.0625915527344,45.0,18.0,3.0,17.0,440.08604583740237,127770.8,56230146.14548157
VISHNU,989,347.6357421875,45.0,19.0,4.0,17.0,332.33486328125,261334.2,86850465.62771486
SBILIFE,990,1426.816650390625,39.0,21.0,4.0,17.0,1435.347509765625,1369851.0,1966212221.5999513
TEJASNET,991,872.8499755859375,43.0,17.0,5.0,17.0,837.1225036621094,482782.8,404148346.2610034
VMART,992,2024.3499755859375,45.0,18.0,3.0,17.0,1895.0549926757812,63186.3,119741513.28370972
BHARTIARTL,993,1007.4357299804688,39.0,20.0,5.0,17.0,999.5869842529297,5582348.6,5580043002.122564
ASIANPAINT,994,3357.800537109375,43.0,20.0,4.0,17.0,3263.12275390625,953082.0,3110023560.538477
ALKALI,995,137.1801300048828,35.0,23.0,5.0,17.0,145.59833145141602,73961.0,10768598.19247818
VRLLOG,996,753.1128540039062,43.0,19.0,4.0,17.0,735.010888671875,121693.25,89445863.82786866
UTKARSHBNK,997,52.817352294921875,43.0,19.0,4.0,17.0,51.312528419494626,4925499.85,252739851.0333415
SESHAPAPER,998,350.2242126464844,42.0,16.0,5.0,17.0,349.03726348876955,104861.85,36600693.16836983
SHAILY,999,334.4577941894531,42.0,17.0,4.0,17.0,335.5142227172852,30723.25,10308087.343098832
BHAGCHEM,1000,151.6280059814453,39.0,22.0,4.0,17.0,154.37999420166017,132125.0,20397456.73389435
BFUTILITIE,1001,593.2000122070312,33.0,17.0,6.0,17.0,625.5549957275391,174613.6,109230409.80197023
TATACOMM,1002,1750.9388427734375,43.0,16.0,5.0,17.0,1720.2056457519532,754624.3,1298108981.2816157
TARSONS,1003,525.1478881835938,46.0,18.0,3.0,17.0,498.9302780151367,290642.7,145010443.11406997
ATUL,1004,7148.115234375,43.0,19.0,4.0,17.0,6911.01376953125,56811.0,392621603.2608398
HCG,1005,365.2999877929687,39.0,19.0,4.0,17.0,364.7325012207031,82943.0,30252007.848748777
CHOLAFIN,1006,1222.2314453125,43.0,17.0,4.0,17.0,1206.2971313476562,1926513.65,2323947889.4971023
REDINGTON,1007,170.07579040527344,44.0,21.0,4.0,17.0,167.94012451171875,2262895.95,380031027.6000641
NUVOCO,1008,377.2000122070313,41.0,18.0,4.0,17.0,374.28500213623045,466262.1,174514911.09454328
MALLCOM,1009,1102.0765380859375,44.0,18.0,4.0,17.0,1073.8973083496094,12733.65,13674632.460466003
MAHLOG,1010,389.5842590332031,44.0,18.0,4.0,17.0,381.452165222168,596074.55,227373927.73132944
MAHESHWARI,1011,81.0,40.0,18.0,5.0,17.0,81.73500022888183,222082.45,18151909.10158064
MAHABANK,1012,44.64433670043945,40.0,16.0,6.0,17.0,45.10887203216553,28610563.25,1290590236.412428
LXCHEM,1013,291.2779541015625,42.0,19.0,4.0,17.0,281.9469787597656,1460810.25,411871036.5287979
LUMAXTECH,1014,383.9688720703125,40.0,19.0,4.0,17.0,380.3181488037109,154551.1,58778588.24757721
LIBERTSHOE,1015,280.54998779296875,40.0,18.0,5.0,17.0,286.175,103858.0,29721563.150000002
LEMONTREE,1016,118.6999969482422,41.0,18.0,5.0,17.0,118.94250030517578,4369925.9,519769912.6943456
LATENTVIEW,1017,455.4500122070313,36.0,21.0,5.0,17.0,464.92249908447263,889368.2,413487286.1502591
LANDMARK,1018,824.505126953125,44.0,18.0,4.0,17.0,794.1615264892578,250670.35,199072747.80159652
KTKBANK,1019,232.00636291503903,44.0,17.0,5.0,17.0,226.71773376464844,1946250.2,441249434.68299377
FAIRCHEMOR,1020,1269.020751953125,44.0,20.0,4.0,17.0,1181.9511962890624,21510.05,25423829.329737548
KRITI,1021,112.78679656982422,42.0,21.0,3.0,17.0,108.03617515563965,145157.85,15682298.907816067
KRISHANA,1022,247.04977416992188,43.0,19.0,4.0,17.0,241.47106857299804,64367.5,15542889.006372452
KRBL,1023,371.8259582519531,44.0,17.0,4.0,17.0,353.3506393432617,476247.25,168282270.2729702
KPRMILL,1024,803.7928466796875,37.0,19.0,5.0,17.0,826.3715026855468,211221.45,174547387.0359201
FDC,1025,390.1402893066406,39.0,18.0,5.0,17.0,394.6582534790039,188125.9,74245439.12816574
FEDERALBNK,1026,155.62603759765625,41.0,19.0,5.0,17.0,153.83168563842773,11706734.6,1800866716.839705
KOTARISUG,1027,53.03111267089844,39.0,17.0,5.0,17.0,52.239862251281735,252016.0,13165281.125119017
KOTAKBANK,1028,1907.059814453125,42.0,20.0,4.0,17.0,1852.65693359375,3623508.4,6713117961.195195
KOKUYOCMLN,1029,143.85874938964844,36.0,19.0,5.0,17.0,152.64678955078125,183082.85,27947009.27430725
MANAKSTEEL,1030,48.849998474121094,44.0,19.0,4.0,17.0,45.97749996185303,248250.65,11413944.250904988
ERIS,1031,900.6864013671875,40.0,18.0,5.0,17.0,887.4490631103515,122698.9,108889023.84967071
MASFIN,1032,287.7589111328125,41.0,17.0,4.0,17.0,285.84093475341797,253581.3,72483915.82798691
NAVNETEDUL,1033,149.13748168945312,42.0,18.0,5.0,17.0,142.16766738891602,325026.0,46208188.26074982
DHANI,1034,39.349998474121094,40.0,17.0,5.0,17.0,40.3,2384402.1,96091404.63
NIITLTD,1035,114.69644165039062,40.0,17.0,6.0,17.0,114.80849876403809,794352.1,91198372.09106106
NH,1036,1199.5576171875,39.0,20.0,5.0,17.0,1182.1084838867187,294979.0,348697178.4684204
DISHTV,1037,19.350000381469727,42.0,20.0,4.0,17.0,19.677499961853027,52822088.45,1039406643.4598722
DIVISLAB,1038,3892.01220703125,42.0,19.0,4.0,17.0,3723.95625,437174.45,1628018525.4178126
DLINKINDIA,1039,317.4505920410156,41.0,18.0,5.0,17.0,318.2509567260742,207594.2,66067052.760784
DMART,1040,4064.75,41.0,20.0,4.0,17.0,4041.32998046875,335945.7,1357667429.2195606
NELCO,1041,801.3797607421875,43.0,18.0,4.0,17.0,784.7300567626953,187086.25,146812203.5820198
NCLIND,1042,220.84063720703125,41.0,17.0,5.0,17.0,220.02939376831054,308709.85,67925241.14580607
NATHBIOGEN,1043,210.32411193847656,44.0,18.0,4.0,17.0,201.0988998413086,73697.85,14820556.555669786
MAYURUNIQ,1044,554.8989868164062,43.0,19.0,4.0,17.0,545.9194305419921,96324.3,52585307.00335602
NATCOPHARM,1045,813.4668579101562,42.0,17.0,5.0,17.0,779.3044830322266,541595.55,422067840.1053045
DRREDDY,1046,1157.4757080078125,41.0,20.0,4.0,17.0,1127.341131591797,2634124.5,2969556894.5836763
DSSL,1047,639.5950317382812,38.0,16.0,5.0,17.0,634.8040954589844,18189.65,11546864.314965516
DYNPRO,1048,307.8500061035156,46.0,17.0,4.0,17.0,299.41999969482424,59480.2,17809561.465848085
MOLDTECH,1049,274.7112121582031,46.0,14.0,5.0,17.0,271.8660804748535,271064.15,73693148.01774777
MHRIL,1050,386.5,39.0,17.0,5.0,17.0,382.8824996948242,221757.55,84907085.07019997
MFSL,1051,955.2000122070312,37.0,20.0,5.0,17.0,988.1600036621094,665815.45,657932197.510289
METROPOLIS,1052,1674.550048828125,40.0,21.0,5.0,17.0,1658.2500061035157,381769.7,633069607.3551373
ELGIEQUIP,1053,540.4314575195312,42.0,19.0,4.0,17.0,529.4418731689453,271987.55,144001597.95063218
FILATEX,1054,48.79391098022461,39.0,17.0,5.0,17.0,48.173393440246585,633127.0,30499876.068643
KIRLOSBROS,1055,897.3482666015625,34.0,20.0,6.0,17.0,925.242041015625,61188.65,56614311.41299072
FINCABLES,1056,1045.618408203125,42.0,17.0,5.0,17.0,1067.1104827880858,414797.85,442635133.97296
HPAL,1057,101.1867218017578,40.0,20.0,5.0,17.0,99.23775939941406,500285.4,49647202.15623962
GOKULAGRO,1058,124.5500030517578,39.0,20.0,5.0,17.0,124.1150001525879,348276.95,43226393.70239285
INFOBEAN,1059,454.8650207519531,46.0,18.0,4.0,17.0,438.9063430786133,82560.4,36236283.24710754
INDOSTAR,1060,172.6999969482422,40.0,18.0,5.0,17.0,170.19499969482422,81659.85,13898098.145829393
INDORAMA,1061,52.79999923706055,42.0,20.0,4.0,17.0,50.85500011444092,456635.15,23222180.605507746
INDHOTEL,1062,434.7920837402344,40.0,19.0,5.0,17.0,435.92118377685546,2357307.95,1027600472.0905925
IDBI,1063,66.49156188964844,43.0,17.0,5.0,17.0,65.19320678710938,11704405.15,763047705.264058
ICICIGI,1064,1427.874755859375,39.0,20.0,4.0,17.0,1431.1782104492188,405100.25,579770650.8475312
ICICIBANK,1065,990.8698120117188,40.0,19.0,4.0,17.0,1000.2391479492187,16410054.3,16413978730.832413
HUHTAMAKI,1066,290.8891296386719,40.0,22.0,4.0,17.0,287.2327026367187,90348.2,25950957.664362792
HOMEFIRST,1067,928.693115234375,39.0,21.0,5.0,17.0,981.7118499755859,312392.9,306679811.77823824
INTLCONV,1068,90.5049057006836,37.0,21.0,5.0,17.0,90.33940620422364,805175.5,72739076.56018887
GUFICBIO,1069,314.4720764160156,37.0,20.0,5.0,17.0,320.5805694580078,208697.5,66904363.394462585
